ep,organ,a_score,optimal_Np,oracle_dice,fob_10_dice,dice_0,dice_1,dice_2,dice_4,dice_6,dice_8,dice_10,dice_12,dice_16,dice_20,dice_24
152,spleen,0.801296448598813,10,0.2536051715564396,0.2536051715564396,0.02202767579779723,0.08449931412894376,0.19670442842430483,0.18995859213250518,0.18086500655307994,0.22318692543411645,0.2536051715564396,0.2536051715564396,0.2536051715564396,0.2536051715564396,0.2536051715564396
153,rk,0.7533835322106295,6,0.058421137947803535,0.058445770627919044,0.05651028600100351,0.057337406134656994,0.057337406134656994,0.057337406134656994,0.058421137947803535,0.057697233606557374,0.058445770627919044,0.058445770627919044,0.058445770627919044,0.058445770627919044,0.058445770627919044
154,lk,0.746437553801798,10,0.04551237427686694,0.04551237427686694,0.04290660571635475,0.0424436435271205,0.04254650719206517,0.04254841677700231,0.042518837459634015,0.043883809744242566,0.04551237427686694,0.04551237427686694,0.04551237427686694,0.04551237427686694,0.04551237427686694
155,liver,0.7597101695738744,0,0.9208484221417486,0.16189019481564965,0.9208484221417486,0.9078376308399285,0.8773747841105354,0.8666829149402876,0.16307168342523515,0.16522882261112481,0.16189019481564965,0.16189019481564965,0.16189019481564965,0.16181854757594044,0.16181854757594044
156,spleen,0.6838659144744815,0,0.9527065527065527,0.9196035242290749,0.9527065527065527,0.9526525955504849,0.9510807736063709,0.9468325791855203,0.14546702118535038,0.16624191335032346,0.9196035242290749,0.9196035242290749,0.9196035242290749,0.9196035242290749,0.13011123897199847
157,rk,0.7357783291835933,2,0.8401714635639926,0.05761865112406328,0.8087110064743968,0.8125369603784742,0.8401714635639926,0.8365853658536585,0.83811850946854,0.8342440801457195,0.05761865112406328,0.05761865112406328,0.05761865112406328,0.056027851995789815,0.05562700964630225
158,lk,0.7499940067751476,8,0.02011212957194981,0.01910155094451253,0.014784286788996827,0.016672199476227362,0.017267726161369193,0.01893035138417724,0.01821625760689961,0.02011212957194981,0.01910155094451253,0.01910155094451253,0.01910155094451253,0.015329308824526895,0.015109981948251654
159,liver,0.656180676595809,10,0.6298698545932426,0.6298698545932426,0.45218869528261796,0.4540494406681501,0.48006708811766224,0.5899349103032228,0.6254787256428601,0.6215289394446303,0.6298698545932426,0.6298698545932426,0.6025854034120841,0.6025854034120841,0.6025854034120841
160,spleen,0.7393564877404577,0,0.190428262291782,0.10584615384615384,0.190428262291782,0.12999862580733818,0.12986478138513283,0.12536443148688048,0.13936871570107914,0.14308402026771536,0.10584615384615384,0.10584615384615384,0.10584615384615384,0.10584615384615384,0.10584615384615384
161,rk,0.7633225990145331,8,0.0784096713774902,0.048568264515108366,0.045591802386020494,0.04667545104398946,0.048477511382477564,0.05315863900031745,0.05207655989369823,0.0784096713774902,0.048568264515108366,0.048568264515108366,0.048568264515108366,0.048568264515108366,0.048568264515108366
